absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.002732,0.000046,0.006797,95.224179,5,59
0.004379,0.000028,0.005305,84.390845,5,60
0.024474,0.002297,0.047923,91.77992,5,67
0.010441,0.000195,0.013949,91.178935,5,71
0.047769,0.003579,0.059824,91.82687,5,72
0.019117,0.000542,0.023274,90.638323,5,74
0.013483,0.000268,0.016364,86.205849,5,79
0.015375,0.000995,0.031548,99.997812,5,80
0.006227,0.000075,0.008641,97.113488,5,81
0.020335,0.001732,0.041613,62.575506,5,82
0.013926,0.000284,0.016855,91.278765,5,85
0.01908,0.000634,0.025175,95.02214,5,87
0.011601,0.000553,0.023514,92.542659,5,90
0.007549,0.000138,0.01175,94.360434,5,91
0.012923,0.00024,0.01549,95.971008,5,92
0.014665,0.000342,0.018482,84.218645,5,94
0.011858,0.000266,0.016308,97.988538,5,95
0.018469,0.000593,0.024359,97.987426,5,96
0.004345,0.00003,0.005459,81.187116,5,97
0.001781,0.000008,0.00286,77.681351,5,98
0.027068,0.008855,0.0941,99.987618,5,99
0.058797,0.007371,0.085852,92.756144,6,1
0.01671,0.000441,0.020997,95.46673,6,2
0.035702,0.003041,0.055143,97.539358,6,3
0.011539,0.000244,0.015627,95.73078,6,4
0.03259,0.002288,0.04783,97.13376,6,5
0.060912,0.008659,0.093054,86.986595,6,6
0.042814,0.003424,0.058517,98.102964,6,7
0.014328,0.000388,0.019706,79.951332,6,8
0.042161,0.003782,0.061499,95.756029,6,9
0.019636,0.000553,0.023509,94.256367,6,10
0.02145,0.000735,0.027105,97.683279,6,11
0.020471,0.000577,0.024018,93.645319,6,12
0.012924,0.000256,0.016013,92.575812,6,13
0.020085,0.000595,0.024383,93.880847,6,14
0.03357,0.002264,0.047585,99.365372,6,16
0.026376,0.00106,0.032553,94.213185,6,17
0.096829,0.017429,0.132018,96.87643,6,18
0.025514,0.001582,0.03978,92.82859,6,19
0.023201,0.000948,0.030791,92.013803,6,20
0.015053,0.000527,0.022966,97.137845,6,21
0.032037,0.002245,0.047385,93.095511,6,22
0.030303,0.001583,0.039786,97.212193,6,23
0.037551,0.002994,0.054717,94.663645,6,24
0.022488,0.001074,0.032769,97.260853,6,25
0.028996,0.001863,0.043159,88.936504,6,26
0.007406,0.000092,0.009588,95.210718,6,27
0.006406,0.000071,0.008428,95.986197,6,28
0.022518,0.001071,0.032723,96.108843,6,29
0.0167,0.000478,0.021858,90.560548,6,30
0.01943,0.000743,0.027249,95.690259,6,31
0.042921,0.0053,0.072804,95.828569,6,32
0.041087,0.003102,0.055693,91.880748,6,33
0.029026,0.001538,0.039218,93.599488,6,34
0.02078,0.000633,0.025156,91.247547,6,35
0.026771,0.001138,0.03373,98.747315,6,36
0.014025,0.000302,0.017372,87.644602,6,37
0.021769,0.00079,0.028108,90.431965,6,38
0.009575,0.000128,0.011327,95.547159,6,40
0.031798,0.003503,0.059188,93.093548,6,41
0.015275,0.000387,0.019665,92.636428,6,42
0.019415,0.000592,0.024337,94.55708,6,44
0.002958,0.000013,0.003616,81.507096,6,45
0.018479,0.000537,0.023164,97.526687,6,46
0.024762,0.00138,0.037155,66.376708,6,47
0.049003,0.004102,0.064048,88.574451,6,48
0.037111,0.002241,0.047342,87.509727,6,49
0.024644,0.001254,0.03541,87.353168,6,52
0.006218,0.000072,0.008475,88.430993,6,54
0.042336,0.002791,0.052826,97.720183,6,55
0.047743,0.003341,0.057798,98.657167,6,56
0.053922,0.005301,0.07281,84.619027,6,58
0.018842,0.001395,0.037349,93.977732,6,59
0.003348,0.000018,0.004256,94.637403,6,60
0.036922,0.002783,0.052756,94.757956,6,67
0.035405,0.001608,0.040101,90.090743,6,71
0.038129,0.00282,0.053108,90.918293,6,72
0.017594,0.000568,0.02384,93.547172,6,74
0.019412,0.000554,0.023539,91.176543,6,79
0.010921,0.000186,0.013632,92.041558,6,80
0.017924,0.00056,0.023667,92.280454,6,81
0.021404,0.000899,0.029977,97.938311,6,82
0.014694,0.000434,0.020837,94.949261,6,83
0.019713,0.000661,0.025706,95.652306,6,85
0.024105,0.001269,0.035629,93.386466,6,87
0.017347,0.000481,0.021926,92.284462,6,90
0.013125,0.000264,0.016244,92.034979,6,91
0.016601,0.00064,0.025302,96.1474,6,92
0.024891,0.001229,0.035061,90.212982,6,93
0.019528,0.000671,0.025896,94.309559,6,94
0.016872,0.000577,0.024019,94.956859,6,95
0.019703,0.000544,0.023323,97.568266,6,96
0.017884,0.000539,0.023216,92.559117,6,97
0.024058,0.000946,0.030756,93.262745,6,98
0.027628,0.001837,0.042862,73.730523,6,99
0.037026,0.003159,0.056203,93.536366,7,1
0.016797,0.00045,0.021214,97.38373,7,2
0.024638,0.000926,0.030437,96.736378,7,3
